key,value
merged_cfg.aggregation.include_intensity_tail,False
merged_cfg.aggregation.include_vad,True
merged_cfg.aggregation.method,weighted_mean
merged_cfg.aggregation.min_emotion_word_count,1
merged_cfg.aggregation.song_feature_weight,emotion_word_count
merged_cfg.aggregation.vector_layout,embedding_ratio_vad
merged_cfg.embedder.batch_size,64
merged_cfg.embedder.device,auto
merged_cfg.embedder.max_length,256
merged_cfg.embedder.model_name,sentence-transformers/all-MiniLM-L6-v2
merged_cfg.embedder.normalize_embeddings,True
merged_cfg.emotion.emotions[0],anger
merged_cfg.emotion.emotions[1],fear
merged_cfg.emotion.emotions[2],joy
merged_cfg.emotion.emotions[3],sadness
merged_cfg.emotion.emotions[4],disgust
merged_cfg.emotion.emotions[5],trust
merged_cfg.emotion.nrc_lexicon_file,assets/lexicons/nrc_lexicon.txt
merged_cfg.eval.k_values[0],5
merged_cfg.eval.k_values[1],10
merged_cfg.eval.k_values[2],20
merged_cfg.eval.n_queries,300
merged_cfg.eval.query_sampling.min_per_stratum,10
merged_cfg.eval.query_sampling.stratify_by[0],genre
merged_cfg.eval.seed,42
merged_cfg.filters.dedup_query_equivalents,True
merged_cfg.filters.exclude_same_artist,False
merged_cfg.filters.exclude_same_song,True
merged_cfg.filters.oversample_factor,3
merged_cfg.filters.year_window,
merged_cfg.index.backend,chroma
merged_cfg.index.collection_name,lyrics_reco
merged_cfg.index.metric,cosine
merged_cfg.index.persist_dir,artifacts/indexes/chroma
merged_cfg.index.rebuild,False
merged_cfg.intensity.aggregation,mean
merged_cfg.intensity.enabled,True
merged_cfg.intensity.nrc_intensity_file,assets/lexicons/nrc_intensity.txt
merged_cfg.line_weighting.alpha_emotion,1.0
merged_cfg.line_weighting.beta_intensity,0.5
merged_cfg.line_weighting.gamma_arousal,0.25
merged_cfg.line_weighting.normalize,softmax
merged_cfg.line_weighting.softmax_temperature,1.0
merged_cfg.metrics.emotion_consistency.enabled,True
merged_cfg.metrics.emotion_consistency.representation,emotion_ratio_vad
merged_cfg.metrics.emotion_consistency.similarity,cosine
merged_cfg.metrics.emotion_consistency.threshold,
merged_cfg.metrics.ild.distance,1-cosine
merged_cfg.metrics.ild.enabled,True
merged_cfg.metrics.ndcg.enabled,True
merged_cfg.metrics.recall.enabled,True
merged_cfg.outputs.line_feature_name,emotion_context_line_features
merged_cfg.outputs.save_line_features,False
merged_cfg.outputs.song_vector_name,emotion_context_vectors
merged_cfg.pseudo_ground_truth.exclude_same_artist,True
merged_cfg.pseudo_ground_truth.exclude_same_song,True
merged_cfg.pseudo_ground_truth.graded_relevance.enabled,True
merged_cfg.pseudo_ground_truth.graded_relevance.grade_if_same_genre_and_within_year,2
merged_cfg.pseudo_ground_truth.graded_relevance.grade_if_same_genre_only,0
merged_cfg.pseudo_ground_truth.graded_relevance.max_grade1_per_query,0
merged_cfg.pseudo_ground_truth.require_same_genre,True
merged_cfg.pseudo_ground_truth.year_window,10
merged_cfg.retrieval.fusion.method,weighted_rrf
merged_cfg.retrieval.fusion.rrf_k,60
merged_cfg.retrieval.mmr.enabled,True
merged_cfg.retrieval.mmr.lambda,0.7
merged_cfg.retrieval.mmr.min_candidates,50
merged_cfg.retrieval.mmr.similarity,cosine
merged_cfg.retrieval.similarity,cosine
merged_cfg.retrieval.top_k,20
merged_cfg.retrieval.top_m,200
merged_cfg.runtime.song_batch_size,512
merged_cfg.text.dedup_for_embedding,True
merged_cfg.text.embedding_text_col,lyrics_dedup
merged_cfg.text.fallback_embedding_text_col,lyrics_clean
merged_cfg.text.fallback_lexicon_text_col,lyrics_dedup
merged_cfg.text.keep_original_for_lexicon,True
merged_cfg.text.lexicon_text_col,lyrics_clean
merged_cfg.text.line_split,newline
merged_cfg.text.max_lines_per_song,250
merged_cfg.text.min_line_chars,3
merged_cfg.text.strip_brackets,True
merged_cfg.vad.aggregation,mean
merged_cfg.vad.enabled,True
merged_cfg.vad.vad_lexicon_file,assets/lexicons/vad_lexicon.txt
params.central_vectors_out,
params.data,data/processed/genius_processed.csv
params.disable_mmr,False
params.emotion_config,configs/emotion_context.yaml
params.eval_config,configs/eval.yaml
params.ild_space,emotion_ratio
params.mmr_lambda,0.7
params.n_queries,100
params.rebuild_index,True
params.retrieval_config,configs/retrieval.yaml
params.save_central_vectors,True
params.save_vectors,True
params.seed,42
params.top_k,20
params.top_m,200
params.vectors_csv,
pipeline,run_proposed
